56,Thu Feb 7 2019,7:30p,Away,Atlanta Hawks,W,Regulation,119,101,40,16,W 3
57,Sat Feb 9 2019,7:30p,Away,New York Knicks,W,Regulation,104,99,41,16,W 4
58,Mon Feb 11 2019,7:30p,Home,Brooklyn Nets,W,Regulation,127,125,42,16,W 5
59,Wed Feb 13 2019,7:30p,Home,Washington Wizards,W,Regulation,129,120,43,16,W 6
60,Fri Feb 22 2019,7:00p,Home,San Antonio Spurs,W,Regulation,120,117,44,16,W 7
61,Sun Feb 24 2019,3:30p,Home,Orlando Magic,L,Regulation,98,113,44,17,L 1
62,Tue Feb 26 2019,8:00p,Home,Boston Celtics,W,Regulation,118,95,45,17,W 1
63,Fri Mar 1 2019,8:00p,Home,Portland Trail Blazers,W,Regulation,119,117,46,17,W 2
64,Sun Mar 3 2019,6:00p,Away,Detroit Pistons,L,OT,107,112,46,18,L 1
65,Tue Mar 5 2019,8:00p,Home,Houston Rockets,L,Regulation,95,107,46,19,L 2
66,Fri Mar 8 2019,8:00p,Away,New Orleans Pelicans,W,Regulation,127,104,47,19,W 1
67,Sun Mar 10 2019,3:30p,Away,Miami Heat,W,Regulation,125,104,48,19,W 2
68,Mon Mar 11 2019,7:00p,Away,Cleveland Cavaliers,L,Regulation,101,126,48,20,L 1
69,Thu Mar 14 2019,8:00p,Home,Los Angeles Lakers,W,Regulation,111,98,49,20,W 1
70,Sun Mar 17 2019,4:00p,Away,Detroit Pistons,L,Regulation,107,110,49,21,L 1
71,Mon Mar 18 2019,7:30p,Home,New York Knicks,W,Regulation,128,92,50,21,W 1
72,Wed Mar 20 2019,9:30p,Away,Oklahoma City Thunder,W,OT,123,114,51,21,W 2
73,Fri Mar 22 2019,7:30p,Home,Oklahoma City Thunder,L,Regulation,109,116,51,22,L 1
74,Sun Mar 24 2019,6:00p,Home,Charlotte Hornets,L,Regulation,114,115,51,23,L 2
75,Tue Mar 26 2019,7:30p,Home,Chicago Bulls,W,Regulation,112,103,52,23,W 1
76,Thu Mar 28 2019,7:30p,Away,New York Knicks,W,Regulation,117,92,53,23,W 2
77,Sat Mar 30 2019,8:00p,Away,Chicago Bulls,W,Regulation,124,101,54,23,W 3
78,Mon Apr 1 2019,7:30p,Home,Orlando Magic,W,Regulation,121,109,55,23,W 4
79,Wed Apr 3 2019,7:30p,Away,Brooklyn Nets,W,Regulation,115,105,56,23,W 5
80,Fri Apr 5 2019,7:00p,Away,Charlotte Hornets,L,Regulation,111,113,56,24,L 1
81,Sun Apr 7 2019,12:00p,Home,Miami Heat,W,OT,117,109,57,24,W 1
82,Tue Apr 9 2019,8:00p,Away,Minnesota Timberwolves,W,Regulation,120,100,58,24,W 2 
83,Sat Apr 13 2019,5:00p,Home,Orlando Magic,L,Regulation,101,104,0,1,L 1
84,Tue Apr 16 2019,8:00p,Home,Orlando Magic,W,Regulation,111,82,1,1,W 1
85,Fri Apr 19 2019,7:00p,Away,Orlando Magic,W,Regulation,98,93,2,1,W 2
86,Sun Apr 21 2019,7:00p,Away,Orlando Magic,W,Regulation,107,85,3,1,W 3
87,Tue Apr 23 2019,7:00p,Home,Orlando Magic,W,Regulation,115,96,4,1,W 4
88,Sat Apr 27 2019,7:30p,Home,Philadelphia 76ers,W,Regulation,108,95,5,1,W 5
89,Mon Apr 29 2019,8:00p,Home,Philadelphia 76ers,L,Regulation,89,94,5,2,L 1
90,Thu May 2 2019,8:00p,Away,Philadelphia 76ers,L,Regulation,95,116,5,3,L 2
91,Sun May 5 2019,3:30p,Away,Philadelphia 76ers,W,Regulation,101,96,6,3,W 1
92,Tue May 7 2019,8:00p,Home,Philadelphia 76ers,W,Regulation,125,89,7,3,W 2
93,Thu May 9 2019,8:00p,Away,Philadelphia 76ers,L,Regulation,101,112,7,4,L 1
94,Sun May 12 2019,7:00p,Home,Philadelphia 76ers,W,Regulation,92,90,8,4,W 1
95,Wed May 15 2019,8:30p,Away,Milwaukee Bucks,L,Regulation,100,108,8,5,L 1
96,Fri May 17 2019,8:30p,Away,Milwaukee Bucks,L,Regulation,103,125,8,6,L 2
97,Sun May 19 2019,7:00p,Home,Milwaukee Bucks,W,2OT,118,112,9,6,W 1
98,Tue May 21 2019,8:30p,Home,Milwaukee Bucks,W,Regulation,120,102,10,6,W 2
99,Thu May 23 2019,8:30p,Away,Milwaukee Bucks,W,Regulation,105,99,11,6,W 3
100,Sat May 25 2019,8:30p,Home,Milwaukee Bucks,W,Regulation,100,94,12,6,W 4
101,Thu May 30 2019,9:00p,Home,Golden State Warriors,W,Regulation,118,109,13,6,W 5
102,Sun Jun 2 2019,8:00p,Home,Golden State Warriors,L,Regulation,104,109,13,7,L 1
103,Wed Jun 5 2019,9:00p,Away,Golden State Warriors,W,Regulation,123,109,14,7,W 1
104,Fri Jun 7 2019,9:00p,Away,Golden State Warriors,W,Regulation,105,92,15,7,W 2
105,Mon Jun 10 2019,9:00p,Home,Golden State Warriors,L,Regulation,105,106,15,8,L 1
106,Thu Jun 13 2019,9:00p,Away,Golden State Warriors,W,Regulation,114,110,16,8,W 1
